Year,GDP_per_head,CHE_per_head,oop
2000,48561.82753979937,3660.652613354808,11.031691550000001
2001,50301.6907720768,3879.9111136464917,10.46682262
2002,53515.31183707708,4137.932375372432,9.81220055
2003,55703.27283398832,4311.324170470263,9.60532284
2004,55797.44571790731,4405.689931171251,9.9601841
2005,55563.03991665157,4476.41502908339,9.885855670000002
2006,55317.98085123186,4614.32111415979,8.32705307
2007,55022.16690165884,4767.9680041492875,7.88896227
2008,56189.99604947128,4972.237968321283,9.92371464
2009,60102.620821195866,5123.527920684647,9.06950665
2010,60902.13682796411,5260.17855559301,9.095670699999998
2011,60911.986930197694,5354.325601453284,9.482382770000001
2012,62489.2728471637,5439.2584907044375,10.09067631
2013,62590.8214600191,5446.450645702291,11.53488541
2014,62135.69664172979,5494.038697914691,11.587565419999999
2015,60284.8632656372,5443.424232211088,11.286428449999999
2016,58256.75453144804,5387.820991466577,11.286428449999999
2017,58174.75712183943,5529.89123728486,11.04886436
2018,57335.37889693107,5573.206322903723,10.791329379999999
2019,57493.74629784478,5717.143095698148,10.423666
2020,62901.01016309843,6012.904085884975,9.279746059999999
2021,63718.02752609879,6473.327252430915,10.90819359
2022,57025.062430815604,6083.454350667217,11.93487835
2023,55198.13274624507,5892.947344468181,12.033993720000002
2024,55762.93608929906,6011.567668822093,11.787722590000001
